animal,initial_luminescence_p-s-cm2-sr,final_luminescence_p-s-cm2-sr,fold_change_1,initial_luminescence_p-s,final_luminescence_p-s,fold_change_2,group
1_1,4.66E+04,1.91E+05,4.1,2.35E+05,4.40E+06,18.72,con
1_5,1.11E+04,3.26E+04,2.94,8.74E+06,4.11E+07,4.70,con
1_7,1.54E+04,3.41E+03,0.22,1.98E+06,7.07E+05,0.36,con
1_8,1.96E+04,4.64E+03,0.24,1.36E+06,4.01E+05,0.29,con
1_9,7.21E+03,1.09E+04,1.51,1.01E+06,3.34E+05,0.33,con
1_10,5.54E+03,1.03E+04,1.85,8.17E+05,1.20E+06,1.46,con
2_6,6.04E+04,9.26E+04,1.53,6.80E+06,1.58E+07,2.32,il17
2_7,2.18E+04,1.93E+05,8.85,1.16E+06,2.85E+07,24.57,il17
2_8,1.25E+04,1.27E+04,1.02,1.59E+06,1.01E+06,0.64,il17
2_9,1.57E+04,6.06E+03,0.39,1.77E+06,1.56E+06,0.88,il17
2_10,2.36E+04,1.13E+05,4.8,2.65E+06,1.55E+07,5.84,il17
