animal,week,luminescence,group
1,1,1.47E+03,control
5,,4.66E+04,control
7,,1.46E+03,control
8,,1.54E+04,control
9,,1.96E+04,control
10,,7.21E+03,control
1,2,NA,control
5,,9.56E+03,control
7,,1.11E+04,control
8,,9.63E+03,control
9,,1.18E+03,control
10,,6.62E+03,control
1,3,NA,control
5,,8.50E+04,control
7,,9.40E+02,control
8,,1.70E+03,control
9,,3.05E+03,control
10,,3.91E+03,control
1,4,NA,control
5,,1.48E+05,control
7,,1.27E+03,control
8,,1.29E+03,control
9,,1.38E+03,control
10,,4.36E+03,control
1,5,NA,control
5,,1.55E+05,control
7,,5.05E+03,control
8,,4.00E+03,control
9,,1.18E+04,control
10,,1.53E+04,control
1,6,NA,control
5,,NA,control
7,,5.78E+03,control
8,,8.56E+03,control
9,,9.88E+03,control
10,,NA,control
6,1,6.04E+04,IL17
7,,2.18E+04,IL17
8,,1.25E+04,IL17
9,,1.57E+04,IL17
10,,2.36E+04,IL17
6,2,4.27E+04,IL17
7,,3.13E+04,IL17
8,,1.63E+04,IL17
9,,7.55E+04,IL17
10,,1.63E+04,IL17
6,3,NA,IL17
7,,NA,IL17
8,,7.23E+04,IL17
9,,6.57E+03,IL17
10,,3.78E+03,IL17
6,4,NA,IL17
7,,NA,IL17
8,,2.33E+04,IL17
9,,1.64E+04,IL17
10,,9.00E+04,IL17
6,5,NA,IL17
7,,NA,IL17
8,,2.77E+04,IL17
9,,1.72E+04,IL17
10,,NA,IL17
6,6,NA,IL17
7,,NA,IL17
8,,NA,IL17
9,,NA,IL17
10,,NA,IL17
